AREA_cm2,LDMC,SLA,HEIGHT_cm
0.4708,0.3157894737,156.9333333333,5.932
2.5062,0.2455073391,167.183108382,4.844
9.7488,0.2351693824,119.2807291229,7.016
4.7077,0.3615197525,93.270933794,9.648
0.8954,0.1622682019,318.4083333333,8.7
1.5159,0.3444882555,167.0953896104,4.376
1.107,0,0,8.144
0.2489,0.25,276.5555555556,3.232
0.1605,0.2777777778,321,1
1.7062,0.2513404983,151.1861794415,3.956
0.6713,0.2752395807,194.0566666667,4.624
4.7391,0.3580090444,95.0731615843,6.036
0.9343,0.3611284222,122.7136507937,7.596
2.9097,0.186193234,136.0882606323,4.904
1.7397,0.2951451919,158.2738594983,6.588
1.2501,0.1887649555,193.1182142857,6.008
0.026,0.2,260,0.74
1.9496,0.2470411967,140.1809898073,2.416
1.9253,0.2512960131,89.6692882287,4.068
0.0748,0.1764705882,249.3333333333,0.508
0.7073,0.2593239767,328.0516666667,9.632
0.1741,0.1100917431,145.0833333333,0.94
1.0209,0.1671059806,152.5617460317,3.152
5.1011,0.2274877195,120.5709666052,5.596
1.2999,0.226625075,167.2563492064,2.964
1.5657,0.25997007,152.0996428571,3.176
0.8768,0.127700191,470.2716666667,1.708
